Smiles,h,RGroupIndex,LinkerIndex
[H]c1nc([H])c(N([H])c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,3
[H]c1nc([H])c(C(=O)c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,4
[H]c1nc([H])c(Oc2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,5
[H]c1nc([H])c(OC([H])([H])c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,6
[H]c1nc([H])c(C([H])([H])Oc2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,7
[H]c1nc([H])c(S(=O)(=O)c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,8
[H]c1nc([H])c(S(=O)(=O)N([H])c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,9
[H]c1nc([H])c(N([H])S(=O)(=O)c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,10
[H]c1nc([H])c(N([H])C([H])([H])c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,11
[H]c1nc([H])c(C([H])([H])N([H])c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,12
[H]c1nc([H])c(C(=O)N([H])C([H])([H])c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,13
[H]c1nc([H])c(C([H])([H])N([H])C(=O)c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,14
[H]c1nc([H])c(C([H])([H])C([H])([H])c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,15
[H]c1nc([H])c(N([H])C(=O)C([H])([H])c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,16
[H]c1nc([H])c(C([H])([H])C(=O)N([H])c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,17
[H]c1nc([H])c(N([H])C(=O)N([H])c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,18
